Structure,Co,Fe,Ni,Temperature,E_per_atom
DHCP,0.12,0.38,0.5,350,-3.82933764357544
DHCP,0.25,0.5,0.25,100,-3.93125560461416
DHCP,0.25,0.5,0.25,550,-4.17984662369771
FCC,0.62,0.12,0.25,550,-4.3469882868409
FCC,0.62,0.12,0.25,100,-4.40500751391781
HCP,0.25,0.25,0.5,100,-4.39636809340336
HCP,0.25,0.25,0.5,550,-4.33912674010621
HCP,0.38,0.12,0.5,350,-4.3708963019444
DHCP,0.5,0.25,0.25,100,-3.84386387028183
DHCP,0.5,0.25,0.25,550,-3.79469208765566
DHCP,0.12,0.62,0.25,350,-3.80580275021272
FCC,0.38,0.12,0.5,550,-4.35554686428934
FCC,0.38,0.12,0.5,100,-4.41392823387035
DHCP,0.38,0.38,0.25,100,-3.84477320747504
DHCP,0.38,0.38,0.25,550,-3.7859506130428
FCC,0.25,0.25,0.5,350,-4.38141160268746
HCP,0.62,0.12,0.25,350,-4.36407168771695
DHCP,0.5,0.25,0.25,350,-3.82252715736931
HCP,0.38,0.12,0.5,100,-4.39866450499254
HCP,0.38,0.12,0.5,550,-4.3423310111328
HCP,0.25,0.25,0.5,350,-4.36677391398727
DHCP,0.12,0.38,0.5,100,-3.85414648643564
DHCP,0.12,0.38,0.5,550,-3.80375844000227
FCC,0.62,0.12,0.25,350,-4.37252428407598
DHCP,0.25,0.5,0.25,350,-3.90355317450607
HCP,0.62,0.12,0.25,100,-4.39368648922551
HCP,0.62,0.12,0.25,550,-4.33822916020344
FCC,0.25,0.25,0.5,550,-4.34974315564668
FCC,0.25,0.25,0.5,100,-4.41406649465582
FCC,0.38,0.12,0.5,350,-4.38485017873098
DHCP,0.38,0.38,0.25,350,-3.81303189942723
DHCP,0.12,0.62,0.25,100,-3.8341909992971
DHCP,0.12,0.62,0.25,550,-3.91845802877399
HCP,0.38,0.38,0.25,550,-4.34076104028998
HCP,0.38,0.38,0.25,100,-4.39201881897842
HCP,0.12,0.62,0.25,350,-4.35315532657273
FCC,0.5,0.25,0.25,350,-4.3687126684773
FCC,0.12,0.38,0.5,100,-4.41162035899109
FCC,0.12,0.38,0.5,550,-4.35480032365434
DHCP,0.62,0.12,0.25,350,-3.96717610804013
FCC,0.25,0.5,0.25,350,-4.36841028230504
DHCP,0.25,0.25,0.5,550,-3.94832902686453
DHCP,0.25,0.25,0.5,100,-3.99973513801138
HCP,0.25,0.5,0.25,550,-4.33519343811573
HCP,0.25,0.5,0.25,100,-4.38912817615026
HCP,0.12,0.38,0.5,350,-4.36669587252429
FCC,0.12,0.62,0.25,100,-4.39831301504324
FCC,0.12,0.62,0.25,550,-4.34787388220574
HCP,0.5,0.25,0.25,550,-4.32637270945654
HCP,0.5,0.25,0.25,100,-4.39263930780859
DHCP,0.38,0.12,0.5,350,-4.1909349439247
FCC,0.38,0.38,0.25,350,-4.37344382567969
FCC,0.12,0.38,0.5,350,-4.38065431834449
FCC,0.25,0.5,0.25,100,-4.3994460449266
FCC,0.25,0.5,0.25,550,-4.34358944206707
DHCP,0.62,0.12,0.25,550,-3.9389351983857
DHCP,0.62,0.12,0.25,100,-3.82919563788854
FCC,0.5,0.25,0.25,100,-4.40363051115156
FCC,0.5,0.25,0.25,550,-4.35298204268656
HCP,0.12,0.62,0.25,550,-4.33518779866861
HCP,0.12,0.62,0.25,100,-4.38717564741334
HCP,0.38,0.38,0.25,350,-4.35921771676467
DHCP,0.38,0.12,0.5,550,-4.17544066132618
DHCP,0.38,0.12,0.5,100,-4.09523701784899
FCC,0.38,0.38,0.25,100,-4.40250644802496
FCC,0.38,0.38,0.25,550,-4.34199788674531
HCP,0.5,0.25,0.25,350,-4.36187962880089
FCC,0.12,0.62,0.25,350,-4.36635293709227
HCP,0.25,0.5,0.25,350,-4.35727603115503
HCP,0.12,0.38,0.5,550,-4.337595305849
HCP,0.12,0.38,0.5,100,-4.3963779852687
DHCP,0.25,0.25,0.5,350,-3.97039411151674
